關鍵字,網站,標題,網址,時間
大雨,news.google.com,,https://news.google.com./read/CBMidEFVX3lxTFBDeTdQU09YUGhxM1pTYnZKLVE5MmlsU2YtbHRKSEZFcWpBOGFsSUQ2QzZIeEp1S2cxR3psdVgzWG9fX2Y2ejhQd1JTeGJXNUxoUGxPRDRiY2lmVWNnTVNnRndkdjJCeFQ4aEo2Y2djMmplOGpY?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
大雨,news.google.com,,https://news.google.com./read/CBMiekFVX3lxTE5zQ3VSTDdXYlFuWFpwcXpUSWlTTjBnRWcwdkY2N2N6OUxnMF9sODkxU1JlOVdRbTJqbEFaR01SNE4zbk5uSFFNN2Z1NXUwY21qMWJMVlR2R1gzQ0xqQlFDMmVQSXlRaTFRYkxvQWhQejV6MHZFZGt3aC1n?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
大雨,news.google.com,,https://news.google.com./read/CBMie0FVX3lxTFBpLXQ3dURzZ0RXWXRfaVBEV3RET005WDhURnNnRnlscWNDOFdSRE1EZzk3MlpYd3NXUDdqaEVIRW5XTm11WXZqNmF2bGhwWXdKdXdLR2Y5V0lwdTBaN3F0Smg2SjBkUHo2ZG1mSkg1Q3FfVktOVkpaZ0E5WQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
大雨,news.google.com,,https://news.google.com./read/CBMiwgFBVV95cUxPYjc5TFVPTGc4RDhqbW8xM3RtSXVLck1WQ09zeEFtZzdHaG1NTUlKazJxRVNWLWtBamlxbk15NGEwTlU5UWZvMk1wTFBmM29tbHZocmJ0VF81aHpHeFQxUzlicnI4c2tjbnJDd1kyS1ZVUW1LUDVIV0JtTEJlZExZX1JnUWpuWGpOczBHeHlqX3ZjN28yNHk0Q0JfN01FTWZjZmtvZmFUM0FpTEoxUUhVNE43MEw3UEltZk1TRk41SF9wUQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
大雨,news.google.com,,https://news.google.com./read/CBMiVEFVX3lxTE1qNlJjLXNUaWZWVTdRQWtHeWV0MTA0Uy1XTUU1Xy03TU9vZjVxYTRVb2FuZ1djeXUwaVBHUlJSRmRCWU1EQU9rbUVJT3F3VzVFNWxpWg?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
豪雨,news.google.com,,https://news.google.com./read/CBMidEFVX3lxTE9sOFo2THl5SUxOOGo3akRkLVZSMXNINndWbVh0NWxnUk9MV2ExaUZPM1FvSElmY2RDeW0wbExYWGw4OC05d284QVhoQjdYbE1EcUVnYjJZUEZsSUY4bG9rbXptaFpzWk5QbFRyLWJyc1pyd0tY0gFXQVVfeXFMTmtwNUlBTGtJMDlMZEE3bTFBemdzVVN4Ym1LYnhOU1VJTGdibXExSUEtb09FTjc0OHR0LXJMWTl1anhKVmpLQm45OTlDckxtWHQxSkd5SkQw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
豪雨,news.google.com,,https://news.google.com./read/CBMiiAFBVV95cUxORmg3QW5uQTBWSTRNQnQ3Y0h1VlVMN3VuSjcwUG5xSHhvbEdpejZJVzhMMWRGU2UzR0VzZEVtN3ZCOTZXLUF6RGNteVBxalRGOHNwXzF0cFY2UHRuaHljSlM1YjdZcEt2ZXRYUy12TzdCWGE1aHNZdXJHYWp0LTF1eDBXb1ZsOTNP?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
豪雨,news.google.com,,https://news.google.com./read/CBMigwFBVV95cUxPdk1ERE1fQkF1OW1DTE95bmxrTTBuMHV5Mm5jQVJkUVQ1SmlCWGwxLWlfb0Y1LTVtaW9Hc0YyOVJBOEIzMXRpVFBoWXl6ZVN3bnpUZWZUbTVNNUh1R1czTDRnYmU5S1YyTV9kLW9GaWl0dTFoQ0hUdkxsUzU1MGtXRTFzVQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
豪雨,news.google.com,,https://news.google.com./read/CBMiuAFBVV95cUxPcW81NDhlRFlPcnFHSmEyRV85dEF5M3d2bjBXNU11MG9pZDFIdUVsWTVsS0xpdFhCLUF3azdoN2RLeDVJTC16bFZMRXhkTUczUDFVSTgwZTRKSnQwQ1c1TUJLelRHNXMzQ0pCZ3BIQ1lRSHJTb0RBZ1dYWXJjRWV4a2N4VkdlOFg3QnVjQzlkMEFNS3AtcDhkV0JyNl84blpzVDRwYm82bzVUTEU5Umw1UjlVbDM0SEM5?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
豪雨,news.google.com,,https://news.google.com./read/CBMiT0FVX3lxTE9zNTVwdzVVY1FlTHAwOGxNeTFTck1sNlFEeUZqMGRYVGFZY3dCNkNJMTV0cFV1cm1qbDlKS2xSMndjazJtbnpFa0I4SFpiYnfSAVRBVV95cUxOZGJFcUFjRjgwSnE5OUJOaVhCNEZGQjhvSUF0UWNnQ2FNRERKd3V2eEFRNXpoU2RJSTlGXzF6Z0ZRT1Q1cWVmeHdWYWp0TzhNVlZEcFU?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
暴雨,news.google.com,,https://news.google.com./read/CBMi1AFBVV95cUxQTmVsRUcwRFBvT3p6TjlFcFhTbC1OUkNZNlRZNjhiZUNhRW5KR09zeUdIRzhqTWw5bXBFelFyX1JGdklTb2xfc2FmVVFUX1puMXlsUnBiSVVGOHFHZW9wTHZYak14bnNXUEdPV0hQQXJrUWJqR3AzVXV6Z3VmeElYTzA4NTc1OFU2dnA2UzlRVlA0cnVib2ZMQVY3TnBnSVIyT1o4T0t5Wkl3UXhCbldYeUNoZ2t3UF9sSGU0TEwwYlBFNElTMGVjVk43S0hzZVdlWFFFMQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,無時間
