title,link,source,date
颱風凱米最快23日海警24日及25日最接近台灣| 生活,https://news.google.com/read/CBMiX0FVX3lxTE9fMzVPX0xRRVJtc1FQcTl5YjRzZmFXNzRMUDhCNXFnTTlKVGZHRGVtSUpWaUJ3eE1BMjNLYzY2aS1kSXdVelZDb2ZBbTg4YkRKUUlkcVZHLWlWN1NHOEtB?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,中央社即時新聞,7月20日
未來1周如果颱風生成難侵台 粉專曝原因：蠻少見的現象,https://news.google.com/read/CBMiUEFVX3lxTFBjV2dCal85UUtpU3QzVk5CVUowRW5sVlNCLVV1NkdIeS1tdmE5WnphX3EzNDRpMUhHOFJlVkRvcnZqbUVOdWZQb3RBbVJWcjlH0gFWQVVfeXFMTnVHdTJaTUhUdkxzcHBGMHppZkg2T21xN3BUTmpseDdBVkNRZlppY1o2RnA2SUFZTF91cDR4ZzNHeDlERkRWNndZdVlQOTRMTDlFa2QxZnc?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,聯合新聞網,7月31日
視察凱米颱風彰化南投校舍與農損災情 鄭副院長：中央首重恢復學校運作 多項長短期措施協助受災部落、農民、中小企業度過難關,https://news.google.com/read/CBMihwFBVV95cUxQMV9nSFhWZk1OYlFmSG9kRFBuampRTG5BTFJfXzR0ck9HSG02S19wd1YyeHpDNDJ5WWZGYi1yQUc2WGlUdk5LQnRBX0hDTE1KcnlMQ1FPRTBUX3A1cFhZT1g0NEQxT25hREZPQWM4dmU3SEtZYV9lcDhkakdiT1JXdVRYQ1hpanc?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,行政院,7月27日
颱風凱米挾豪雨26日全台停班課一覽高雄台南等9縣市停班停課| 生活,https://news.google.com/read/CBMiX0FVX3lxTE50bnY1VFlrS3lFZjZnT1Z6enlHZ3YyMlpjX1B4bXY5OHFqV3FGbjRKRlBGMXRuVjFfM2JjcHJwY2szU1A4SE11Rm1xaW1ZWExoUFVQYUplZlp1LVVGUmkw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,中央社即時新聞,7月25日
立秋悶熱+午後雷陣雨 瑪莉亞颱風最快今生成 對台灣影響曝,https://news.google.com/read/CBMiUEFVX3lxTE9yZUIyOU5va0Y1VnhBdEpWenZvLXI0cXowQUc3dFhfSHNwNW0xdDUzVzdyS3F3S3I0WjV0cmxnNkx0RnVaeUFidmVHZzhLeXlW0gFWQVVfeXFMTnNnZG00eXVPcWdSN2pGTkpmMnVTd29tMnd5QW44Q09CLUNfdC1IbFZJWmRvWkFfdVhXTlc1bDJ1a1FGS0xDN2JsVmlSNVp0ekdIbExlM3c?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,聯合新聞網,10 小時前
颱風凱米逼近 嘉義縣24日停止上班、上課,https://news.google.com/read/CBMiX0FVX3lxTE1UVnRFbEFBZHFXUzI0UU9MTHMtSE1HTFk4YWdGZUFSXzdlRVA5UnhGMXQ3RE9yZE9xWkhOd0o3YmMxQVlPVXNnMjd1SjY1X2s3bGVFTXNUR3d2TUVqbVU4?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,中央社即時新聞,7月23日
未來一周高溫…周末變天雨下到這時 颱風生成8月中旬再觀察,https://news.google.com/read/CBMiUEFVX3lxTE9BaEdIVDZxVHFOTHJ3dm5kZTk5eWluMXk2dWtybEJfX1lsbG1BSFZQekU4ZE1uSC05encwbGZuNlNDVzItT1pwU2N3cEhXOV9x0gFWQVVfeXFMUHZOQV83WFk3S3Yxci13c25RaUxNZDQ1a1B3U21ibjF0UEd2eFlGNlZfN1ctXzVuQzdFbW5YOHVpXzVseTNSWWVraEplNU0yaDI3cVVFTFE?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,聯合新聞網,7月31日
早安世界》颱風凱米最快23日海警24、25日最接近台灣| 生活,https://news.google.com/read/CBMiX0FVX3lxTE1mVGV4ZFV2TnhEWTRrM1BmVkx5WDhnWFFtcVVoNk5uMlpFTHZYSjV0SmFMVk5PeGszclF2YzVQdkdVeFRNN2lwc3VoSEFwNE13QWJZdWpyWHAxR3RYcUxN?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,中央社即時新聞,7月21日
颱風凱米生成最快23日上半天發布海警| 生活,https://news.google.com/read/CBMiX0FVX3lxTE9uSTF2UXhoay1LYkdlM2NaVGd5dk5tQXRjUGU3VXloOWl5NDZLUTJJOGJUSXpwaE1mNjBVbUQzMFZIVXMwNTBGV0NPbmNCNUFVM0JyR05lLWtBRFF2OU5J?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,中央社即時新聞,7月20日
估下週台灣東方海面有颱風吳德榮：美國模式預測不會登陸| 生活,https://news.google.com/read/CBMiX0FVX3lxTE9CekRtajhSWHA3UExMazVtdnNLMlF1dGdNSW1hdGFmWk1hRUt3dmEtMXJKTkpDYWdkREMwSi1vQnJaS00xSVJJYVJlZHM4TFhJZlRMN3QwVV9nRG9sTHY4?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,中央社即時新聞,7月19日
